time [dec. year], range [m], range-rate [m/s]
2024.1423294563, 181012.586042, 0.188503
2024.1423294880, 181012.774525, 0.188462
2024.1423295196, 181012.962967, 0.188422
2024.1423295512, 181013.151368, 0.188381
2024.1423295828, 181013.339729, 0.188340
2024.1423296145, 181013.528048, 0.188298
2024.1423296461, 181013.716326, 0.188257
2024.1423296777, 181013.904561, 0.188214
2024.1423297093, 181014.092754, 0.188172
2024.1423297409, 181014.280905, 0.188129
2024.1423297726, 181014.469012, 0.188086
2024.1423298042, 181014.657076, 0.188042
2024.1423298358, 181014.845096, 0.187998
2024.1423298674, 181015.033072, 0.187954
2024.1423298991, 181015.221004, 0.187909
2024.1423299307, 181015.408890, 0.187864
2024.1423299623, 181015.596732, 0.187819
2024.1423299939, 181015.784529, 0.187774
2024.1423300256, 181015.972279, 0.187728
2024.1423300572, 181016.159984, 0.187682
2024.1423300888, 181016.347642, 0.187635
2024.1423301204, 181016.535254, 0.187588
2024.1423301520, 181016.722818, 0.187541
2024.1423301837, 181016.910336, 0.187494
2024.1423302153, 181017.097806, 0.187446
2024.1423302469, 181017.285228, 0.187398
2024.1423302785, 181017.472602, 0.187350
2024.1423303102, 181017.659927, 0.187301
2024.1423303418, 181017.847204, 0.187252
2024.1423303734, 181018.034432, 0.187203
2024.1423304050, 181018.221610, 0.187154
2024.1423304367, 181018.408740, 0.187104
2024.1423304683, 181018.595819, 0.187055
2024.1423304999, 181018.782849, 0.187005
2024.1423305315, 181018.969828, 0.186954
2024.1423305631, 181019.156757, 0.186904
2024.1423305948, 181019.343636, 0.186853
2024.1423306264, 181019.530463, 0.186802
2024.1423306580, 181019.717239, 0.186751
2024.1423306896, 181019.903965, 0.186700
2024.1423307213, 181020.090638, 0.186648
2024.1423307529, 181020.277260, 0.186596
2024.1423307845, 181020.463831, 0.186544
2024.1423308161, 181020.650349, 0.186492
2024.1423308478, 181020.836815, 0.186440
2024.1423308794, 181021.023228, 0.186387
2024.1423309110, 181021.209589, 0.186335
2024.1423309426, 181021.395898, 0.186282
2024.1423309742, 181021.582153, 0.186229
2024.1423310059, 181021.768355, 0.186176
2024.1423310375, 181021.954504, 0.186122
2024.1423310691, 181022.140600, 0.186069
2024.1423311007, 181022.326642, 0.186015
2024.1423311324, 181022.512630, 0.185961
2024.1423311640, 181022.698564, 0.185907
2024.1423311956, 181022.884444, 0.185853
2024.1423312272, 181023.070270, 0.185798
2024.1423312589, 181023.256041, 0.185744
2024.1423312905, 181023.441757, 0.185689
2024.1423313221, 181023.627418, 0.185634
2024.1423313537, 181023.813024, 0.185578
2024.1423313853, 181023.998575, 0.185523
2024.1423314170, 181024.184070, 0.185467
2024.1423314486, 181024.369509, 0.185411
2024.1423314802, 181024.554892, 0.185355
2024.1423315118, 181024.740218, 0.185298
2024.1423315435, 181024.925488, 0.185241
2024.1423315751, 181025.110700, 0.185184
2024.1423316067, 181025.295855, 0.185126
2024.1423316383, 181025.480953, 0.185068
2024.1423316700, 181025.665992, 0.185010
2024.1423317016, 181025.850973, 0.184952
2024.1423317332, 181026.035895, 0.184893
2024.1423317648, 181026.220758, 0.184833
2024.1423317964, 181026.405561, 0.184773
2024.1423318281, 181026.590304, 0.184713
2024.1423318597, 181026.774987, 0.184652
2024.1423318913, 181026.959608, 0.184591
2024.1423319229, 181027.144168, 0.184529
2024.1423319546, 181027.328667, 0.184467
2024.1423319862, 181027.513103, 0.184404
2024.1423320178, 181027.697475, 0.184341
2024.1423320494, 181027.881785, 0.184277
2024.1423320811, 181028.066030, 0.184213
2024.1423321127, 181028.250210, 0.184148
2024.1423321443, 181028.434326, 0.184082
2024.1423321759, 181028.618375, 0.184016
2024.1423322075, 181028.802358, 0.183949
2024.1423322392, 181028.986273, 0.183882
2024.1423322708, 181029.170121, 0.183814
2024.1423323024, 181029.353900, 0.183745
2024.1423323340, 181029.537610, 0.183675
2024.1423323657, 181029.721250, 0.183605
2024.1423323973, 181029.904819, 0.183534
2024.1423324289, 181030.088317, 0.183462
2024.1423324605, 181030.271743, 0.183389
2024.1423324922, 181030.455096, 0.183316
2024.1423325238, 181030.638375, 0.183242
2024.1423325554, 181030.821580, 0.183167
2024.1423325870, 181031.004709, 0.183092
2024.1423326187, 181031.187763, 0.183015
2024.1423326503, 181031.370740, 0.182938
2024.1423326819, 181031.553640, 0.182860
2024.1423327135, 181031.736461, 0.182782
2024.1423327451, 181031.919203, 0.182702
2024.1423327768, 181032.101865, 0.182622
2024.1423328084, 181032.284446, 0.182541
2024.1423328400, 181032.466946, 0.182459
2024.1423328716, 181032.649363, 0.182376
2024.1423329033, 181032.831698, 0.182293
2024.1423329349, 181033.013948, 0.182208
2024.1423329665, 181033.196114, 0.182123
2024.1423329981, 181033.378194, 0.182037
2024.1423330298, 181033.560188, 0.181951
2024.1423330614, 181033.742095, 0.181863
2024.1423330930, 181033.923914, 0.181775
2024.1423331246, 181034.105644, 0.181686
2024.1423331562, 181034.287286, 0.181596
2024.1423331879, 181034.468836, 0.181506
2024.1423332195, 181034.650296, 0.181414
2024.1423332511, 181034.831665, 0.181322
2024.1423332827, 181035.012941, 0.181230
2024.1423333144, 181035.194124, 0.181136
2024.1423333460, 181035.375214, 0.181042
2024.1423333776, 181035.556208, 0.180948
2024.1423334092, 181035.737108, 0.180852
2024.1423334409, 181035.917912, 0.180756
2024.1423334725, 181036.098620, 0.180659
2024.1423335041, 181036.279231, 0.180562
2024.1423335357, 181036.459743, 0.180464
2024.1423335673, 181036.640158, 0.180365
2024.1423335990, 181036.820474, 0.180266
2024.1423336306, 181037.000690, 0.180166
2024.1423336622, 181037.180805, 0.180066
2024.1423336938, 181037.360821, 0.179965
2024.1423337255, 181037.540734, 0.179863
2024.1423337571, 181037.720546, 0.179761
2024.1423337887, 181037.900256, 0.179658
2024.1423338203, 181038.079863, 0.179555
2024.1423338520, 181038.259366, 0.179451
2024.1423338836, 181038.438765, 0.179347
2024.1423339152, 181038.618060, 0.179242
2024.1423339468, 181038.797250, 0.179137
2024.1423339784, 181038.976334, 0.179031
2024.1423340101, 181039.155312, 0.178925
2024.1423340417, 181039.334184, 0.178818
2024.1423340733, 181039.512949, 0.178711
2024.1423341049, 181039.691606, 0.178603
2024.1423341366, 181039.870156, 0.178495
2024.1423341682, 181040.048597, 0.178387
2024.1423341998, 181040.226929, 0.178278
2024.1423342314, 181040.405152, 0.178168
2024.1423342631, 181040.583265, 0.178058
2024.1423342947, 181040.761268, 0.177948
2024.1423343263, 181040.939160, 0.177837
2024.1423343579, 181041.116941, 0.177725
2024.1423343895, 181041.294611, 0.177614
2024.1423344212, 181041.472168, 0.177501
2024.1423344528, 181041.649613, 0.177388
2024.1423344844, 181041.826945, 0.177275
2024.1423345160, 181042.004163, 0.177161
2024.1423345477, 181042.181268, 0.177047
2024.1423345793, 181042.358258, 0.176933
2024.1423346109, 181042.535133, 0.176817
2024.1423346425, 181042.711893, 0.176702
2024.1423346742, 181042.888536, 0.176586
2024.1423347058, 181043.065064, 0.176469
2024.1423347374, 181043.241474, 0.176352
2024.1423347690, 181043.417768, 0.176234
2024.1423348006, 181043.593943, 0.176116
2024.1423348323, 181043.770000, 0.175998
2024.1423348639, 181043.945938, 0.175878
2024.1423348955, 181044.121756, 0.175759
2024.1423349271, 181044.297455, 0.175638
2024.1423349588, 181044.473033, 0.175517
2024.1423349904, 181044.648490, 0.175396
2024.1423350220, 181044.823825, 0.175274
2024.1423350536, 181044.999038, 0.175152
2024.1423350853, 181045.174128, 0.175029
2024.1423351169, 181045.349095, 0.174905
2024.1423351485, 181045.523937, 0.174781
2024.1423351801, 181045.698656, 0.174656
2024.1423352117, 181045.873249, 0.174530
2024.1423352434, 181046.047716, 0.174404
2024.1423352750, 181046.222057, 0.174277
2024.1423353066, 181046.396270, 0.174150
2024.1423353382, 181046.570356, 0.174022
2024.1423353699, 181046.744314, 0.173893
2024.1423354015, 181046.918143, 0.173764
2024.1423354331, 181047.091842, 0.173634
2024.1423354647, 181047.265412, 0.173504
2024.1423354964, 181047.438850, 0.173372
2024.1423355280, 181047.612156, 0.173241
2024.1423355596, 181047.785331, 0.173108
2024.1423355912, 181047.958372, 0.172975
2024.1423356228, 181048.131280, 0.172841
2024.1423356545, 181048.304054, 0.172706
2024.1423356861, 181048.476693, 0.172571
2024.1423357177, 181048.649196, 0.172435
2024.1423357493, 181048.821563, 0.172299
2024.1423357810, 181048.993793, 0.172161
2024.1423358126, 181049.165885, 0.172023
2024.1423358442, 181049.337839, 0.171885
2024.1423358758, 181049.509654, 0.171745
2024.1423359075, 181049.681329, 0.171605
2024.1423359391, 181049.852864, 0.171464
2024.1423359707, 181050.024258, 0.171323
2024.1423360023, 181050.195510, 0.171181
2024.1423360340, 181050.366620, 0.171038
2024.1423360656, 181050.537586, 0.170895
2024.1423360972, 181050.708409, 0.170751
2024.1423361288, 181050.879088, 0.170606
2024.1423361604, 181051.049621, 0.170460
2024.1423361921, 181051.220008, 0.170314
2024.1423362237, 181051.390249, 0.170168
2024.1423362553, 181051.560343, 0.170020
2024.1423362869, 181051.730290, 0.169872
2024.1423363186, 181051.900088, 0.169724
2024.1423363502, 181052.069737, 0.169574
2024.1423363818, 181052.239236, 0.169424
2024.1423364134, 181052.408585, 0.169274
2024.1423364451, 181052.577783, 0.169123
2024.1423364767, 181052.746830, 0.168971
2024.1423365083, 181052.915725, 0.168818
2024.1423365399, 181053.084467, 0.168666
2024.1423365715, 181053.253055, 0.168512
2024.1423366032, 181053.421490, 0.168358
2024.1423366348, 181053.589771, 0.168203
2024.1423366664, 181053.757896, 0.168048
2024.1423366980, 181053.925866, 0.167892
2024.1423367297, 181054.093680, 0.167736
2024.1423367613, 181054.261338, 0.167579
2024.1423367929, 181054.428838, 0.167421
2024.1423368245, 181054.596180, 0.167263
2024.1423368562, 181054.763364, 0.167105
2024.1423368878, 181054.930389, 0.166946
2024.1423369194, 181055.097255, 0.166786
2024.1423369510, 181055.263961, 0.166626
2024.1423369826, 181055.430506, 0.166465
2024.1423370143, 181055.596891, 0.166304
2024.1423370459, 181055.763114, 0.166142
2024.1423370775, 181055.929176, 0.165980
2024.1423371091, 181056.095074, 0.165817
2024.1423371408, 181056.260810, 0.165654
2024.1423371724, 181056.426383, 0.165491
2024.1423372040, 181056.591791, 0.165326
2024.1423372356, 181056.757035, 0.165162
2024.1423372673, 181056.922114, 0.164996
2024.1423372989, 181057.087027, 0.164830
2024.1423373305, 181057.251775, 0.164664
2024.1423373621, 181057.416356, 0.164497
2024.1423373937, 181057.580769, 0.164330
2024.1423374254, 181057.745015, 0.164162
2024.1423374570, 181057.909093, 0.163994
2024.1423374886, 181058.073002, 0.163825
2024.1423375202, 181058.236742, 0.163655
2024.1423375519, 181058.400312, 0.163485
2024.1423375835, 181058.563712, 0.163314
2024.1423376151, 181058.726940, 0.163143
2024.1423376467, 181058.889997, 0.162971
2024.1423376784, 181059.052882, 0.162799
2024.1423377100, 181059.215594, 0.162626
2024.1423377416, 181059.378133, 0.162452
2024.1423377732, 181059.540498, 0.162278
2024.1423378048, 181059.702688, 0.162103
2024.1423378365, 181059.864704, 0.161927
2024.1423378681, 181060.026543, 0.161751
2024.1423378997, 181060.188205, 0.161574
2024.1423379313, 181060.349691, 0.161396
2024.1423379630, 181060.510998, 0.161218
2024.1423379946, 181060.672127, 0.161039
2024.1423380262, 181060.833076, 0.160860
2024.1423380578, 181060.993846, 0.160679
2024.1423380895, 181061.154434, 0.160498
2024.1423381211, 181061.314841, 0.160316
2024.1423381527, 181061.475066, 0.160133
2024.1423381843, 181061.635108, 0.159950
2024.1423382159, 181061.794966, 0.159766
2024.1423382476, 181061.954639, 0.159581
2024.1423382792, 181062.114127, 0.159395
2024.1423383108, 181062.273429, 0.159208
2024.1423383424, 181062.432544, 0.159021
2024.1423383741, 181062.591470, 0.158833
2024.1423384057, 181062.750209, 0.158644
2024.1423384373, 181062.908757, 0.158454
2024.1423384689, 181063.067116, 0.158263
2024.1423385006, 181063.225283, 0.158071
2024.1423385322, 181063.383258, 0.157879
2024.1423385638, 181063.541040, 0.157685
2024.1423385954, 181063.698628, 0.157491
2024.1423386270, 181063.856022, 0.157296
2024.1423386587, 181064.013220, 0.157100
2024.1423386903, 181064.170222, 0.156903
2024.1423387219, 181064.327026, 0.156705
2024.1423387535, 181064.483633, 0.156507
2024.1423387852, 181064.640040, 0.156307
2024.1423388168, 181064.796247, 0.156107
2024.1423388484, 181064.952253, 0.155905
2024.1423388800, 181065.108057, 0.155703
2024.1423389117, 181065.263659, 0.155500
2024.1423389433, 181065.419057, 0.155296
2024.1423389749, 181065.574251, 0.155091
2024.1423390065, 181065.729240, 0.154886
2024.1423390382, 181065.884022, 0.154679
2024.1423390698, 181066.038597, 0.154471
2024.1423391014, 181066.192965, 0.154263
2024.1423391330, 181066.347123, 0.154054
2024.1423391646, 181066.501072, 0.153844
2024.1423391963, 181066.654810, 0.153633
2024.1423392279, 181066.808337, 0.153421
2024.1423392595, 181066.961651, 0.153208
2024.1423392911, 181067.114752, 0.152994
2024.1423393228, 181067.267640, 0.152780
2024.1423393544, 181067.420312, 0.152565
2024.1423393860, 181067.572769, 0.152349
2024.1423394176, 181067.725009, 0.152132
2024.1423394493, 181067.877032, 0.151914
2024.1423394809, 181068.028837, 0.151695
2024.1423395125, 181068.180422, 0.151476
2024.1423395441, 181068.331789, 0.151256
2024.1423395757, 181068.482934, 0.151035
2024.1423396074, 181068.633858, 0.150813
2024.1423396390, 181068.784560, 0.150591
2024.1423396706, 181068.935039, 0.150367
2024.1423397022, 181069.085294, 0.150143
2024.1423397339, 181069.235325, 0.149918
2024.1423397655, 181069.385131, 0.149693
2024.1423397971, 181069.534710, 0.149466
2024.1423398287, 181069.684063, 0.149239
2024.1423398604, 181069.833188, 0.149011
2024.1423398920, 181069.982085, 0.148783
2024.1423399236, 181070.130753, 0.148553
2024.1423399552, 181070.279192, 0.148323
2024.1423399868, 181070.427400, 0.148092
2024.1423400185, 181070.575376, 0.147861
2024.1423400501, 181070.723121, 0.147629
2024.1423400817, 181070.870633, 0.147396
2024.1423401133, 181071.017912, 0.147162
2024.1423401450, 181071.164957, 0.146928
2024.1423401766, 181071.311767, 0.146693
2024.1423402082, 181071.458342, 0.146457
2024.1423402398, 181071.604681, 0.146220
2024.1423402715, 181071.750783, 0.145983
2024.1423403031, 181071.896647, 0.145745
2024.1423403347, 181072.042273, 0.145507
2024.1423403663, 181072.187660, 0.145268
2024.1423403979, 181072.332808, 0.145028
2024.1423404296, 181072.477716, 0.144787
2024.1423404612, 181072.622383, 0.144546
2024.1423404928, 181072.766808, 0.144304
2024.1423405244, 181072.910991, 0.144062
2024.1423405561, 181073.054931, 0.143819
2024.1423405877, 181073.198628, 0.143575
2024.1423406193, 181073.342080, 0.143330
2024.1423406509, 181073.485288, 0.143085
2024.1423406826, 181073.628250, 0.142839
2024.1423407142, 181073.770966, 0.142593
2024.1423407458, 181073.913436, 0.142346
2024.1423407774, 181074.055658, 0.142098
2024.1423408090, 181074.197632, 0.141850
2024.1423408407, 181074.339357, 0.141601
2024.1423408723, 181074.480833, 0.141351
2024.1423409039, 181074.622059, 0.141101
2024.1423409355, 181074.763034, 0.140850
2024.1423409672, 181074.903758, 0.140598
2024.1423409988, 181075.044230, 0.140346
2024.1423410304, 181075.184449, 0.140093
2024.1423410620, 181075.324416, 0.139840
2024.1423410937, 181075.464128, 0.139585
2024.1423411253, 181075.603586, 0.139331
2024.1423411569, 181075.742789, 0.139075
2024.1423411885, 181075.881737, 0.138819
2024.1423412201, 181076.020428, 0.138562
2024.1423412518, 181076.158861, 0.138305
2024.1423412834, 181076.297038, 0.138047
2024.1423413150, 181076.434956, 0.137789
2024.1423413466, 181076.572615, 0.137529
2024.1423413783, 181076.710014, 0.137269
2024.1423414099, 181076.847153, 0.137009
2024.1423414415, 181076.984032, 0.136748
2024.1423414731, 181077.120648, 0.136486
2024.1423415048, 181077.257003, 0.136223
2024.1423415364, 181077.393095, 0.135960
2024.1423415680, 181077.528923, 0.135696
2024.1423415996, 181077.664488, 0.135432
2024.1423416312, 181077.799787, 0.135167
2024.1423416629, 181077.934821, 0.134901
2024.1423416945, 181078.069589, 0.134635
2024.1423417261, 181078.204091, 0.134368
2024.1423417577, 181078.338325, 0.134100
2024.1423417894, 181078.472291, 0.133832
2024.1423418210, 181078.605988, 0.133563
2024.1423418526, 181078.739415, 0.133293
2024.1423418842, 181078.872573, 0.133022
2024.1423419159, 181079.005460, 0.132751
2024.1423419475, 181079.138076, 0.132480
2024.1423419791, 181079.270419, 0.132207
2024.1423420107, 181079.402490, 0.131934
2024.1423420423, 181079.534287, 0.131660
2024.1423420740, 181079.665810, 0.131386
2024.1423421056, 181079.797058, 0.131111
2024.1423421372, 181079.928031, 0.130835
2024.1423421688, 181080.058728, 0.130558
2024.1423422005, 181080.189147, 0.130281
2024.1423422321, 181080.319289, 0.130003
2024.1423422637, 181080.449153, 0.129724
2024.1423422953, 181080.578738, 0.129445
2024.1423423270, 181080.708043, 0.129165
2024.1423423586, 181080.837067, 0.128884
2024.1423423902, 181080.965811, 0.128603
2024.1423424218, 181081.094272, 0.128320
2024.1423424535, 181081.222451, 0.128037
2024.1423424851, 181081.350347, 0.127754
2024.1423425167, 181081.477959, 0.127469
2024.1423425483, 181081.605286, 0.127184
2024.1423425799, 181081.732327, 0.126898
2024.1423426116, 181081.859083, 0.126612
2024.1423426432, 181081.985551, 0.126325
2024.1423426748, 181082.111732, 0.126037
2024.1423427064, 181082.237624, 0.125748
2024.1423427381, 181082.363227, 0.125458
2024.1423427697, 181082.488540, 0.125168
2024.1423428013, 181082.613562, 0.124877
2024.1423428329, 181082.738294, 0.124585
2024.1423428646, 181082.862732, 0.124293
2024.1423428962, 181082.986878, 0.123999
2024.1423429278, 181083.110731, 0.123705
2024.1423429594, 181083.234289, 0.123410
2024.1423429910, 181083.357551, 0.123115
2024.1423430227, 181083.480518, 0.122819
2024.1423430543, 181083.603188, 0.122521
2024.1423430859, 181083.725561, 0.122224
2024.1423431175, 181083.847635, 0.121925
2024.1423431492, 181083.969410, 0.121626
2024.1423431808, 181084.090886, 0.121325
2024.1423432124, 181084.212061, 0.121024
2024.1423432440, 181084.332935, 0.120723
2024.1423432757, 181084.453506, 0.120420
2024.1423433073, 181084.573775, 0.120117
2024.1423433389, 181084.693740, 0.119813
2024.1423433705, 181084.813401, 0.119508
2024.1423434021, 181084.932756, 0.119203
2024.1423434338, 181085.051806, 0.118896
2024.1423434654, 181085.170549, 0.118589
2024.1423434970, 181085.288984, 0.118281
2024.1423435286, 181085.407111, 0.117972
2024.1423435603, 181085.524928, 0.117663
2024.1423435919, 181085.642436, 0.117353
2024.1423436235, 181085.759634, 0.117042
2024.1423436551, 181085.876520, 0.116730
2024.1423436868, 181085.993093, 0.116417
2024.1423437184, 181086.109354, 0.116104
2024.1423437500, 181086.225301, 0.115790
2024.1423437816, 181086.340933, 0.115475
2024.1423438132, 181086.456250, 0.115159
2024.1423438449, 181086.571251, 0.114842
2024.1423438765, 181086.685935, 0.114525
2024.1423439081, 181086.800301, 0.114207
2024.1423439397, 181086.914349, 0.113888
2024.1423439714, 181087.028077, 0.113569
2024.1423440030, 181087.141486, 0.113248
2024.1423440346, 181087.254573, 0.112927
2024.1423440662, 181087.367339, 0.112605
2024.1423440979, 181087.479782, 0.112282
2024.1423441295, 181087.591903, 0.111958
2024.1423441611, 181087.703699, 0.111634
2024.1423441927, 181087.815170, 0.111309
2024.1423442243, 181087.926316, 0.110983
2024.1423442560, 181088.037135, 0.110656
2024.1423442876, 181088.147628, 0.110328
2024.1423443192, 181088.257792, 0.110000
2024.1423443508, 181088.367627, 0.109671
2024.1423443825, 181088.477133, 0.109341
2024.1423444141, 181088.586309, 0.109010
2024.1423444457, 181088.695153, 0.108678
2024.1423444773, 181088.803665, 0.108346
2024.1423445090, 181088.911845, 0.108013
2024.1423445406, 181089.019690, 0.107679
2024.1423445722, 181089.127202, 0.107344
2024.1423446038, 181089.234378, 0.107008
2024.1423446354, 181089.341218, 0.106672
2024.1423446671, 181089.447721, 0.106334
2024.1423446987, 181089.553886, 0.105996
2024.1423447303, 181089.659713, 0.105657
2024.1423447619, 181089.765200, 0.105317
2024.1423447936, 181089.870347, 0.104977
2024.1423448252, 181089.975154, 0.104635
2024.1423448568, 181090.079618, 0.104293
2024.1423448884, 181090.183739, 0.103950
2024.1423449201, 181090.287517, 0.103606
2024.1423449517, 181090.390951, 0.103261
2024.1423449833, 181090.494039, 0.102915
2024.1423450149, 181090.596781, 0.102569
2024.1423450465, 181090.699176, 0.102221
2024.1423450782, 181090.801223, 0.101873
2024.1423451098, 181090.902922, 0.101524
2024.1423451414, 181091.004271, 0.101174
2024.1423451730, 181091.105270, 0.100823
2024.1423452047, 181091.205917, 0.100471
2024.1423452363, 181091.306212, 0.100119
2024.1423452679, 181091.406154, 0.099765
2024.1423452995, 181091.505742, 0.099411
2024.1423453312, 181091.604976, 0.099056
2024.1423453628, 181091.703854, 0.098700
2024.1423453944, 181091.802375, 0.098343
2024.1423454260, 181091.900539, 0.097985
2024.1423454577, 181091.998344, 0.097626
2024.1423454893, 181092.095790, 0.097266
2024.1423455209, 181092.192876, 0.096906
2024.1423455525, 181092.289602, 0.096544
2024.1423455841, 181092.385965, 0.096182
2024.1423456158, 181092.481965, 0.095819
2024.1423456474, 181092.577602, 0.095455
2024.1423456790, 181092.672874, 0.095090
2024.1423457106, 181092.767781, 0.094724
2024.1423457423, 181092.862322, 0.094357
2024.1423457739, 181092.956495, 0.093989
2024.1423458055, 181093.050299, 0.093620
2024.1423458371, 181093.143735, 0.093251
2024.1423458688, 181093.236801, 0.092880
2024.1423459004, 181093.329496, 0.092509
2024.1423459320, 181093.421819, 0.092137
2024.1423459636, 181093.513769, 0.091764
2024.1423459952, 181093.605345, 0.091389
2024.1423460269, 181093.696547, 0.091014
2024.1423460585, 181093.787374, 0.090638
2024.1423460901, 181093.877824, 0.090261
2024.1423461217, 181093.967896, 0.089884
2024.1423461534, 181094.057590, 0.089505
2024.1423461850, 181094.146905, 0.089125
2024.1423462166, 181094.235840, 0.088744
2024.1423462482, 181094.324394, 0.088363
2024.1423462799, 181094.412566, 0.087980
2024.1423463115, 181094.500354, 0.087597
2024.1423463431, 181094.587759, 0.087213
2024.1423463747, 181094.674779, 0.086827
2024.1423464063, 181094.761413, 0.086441
2024.1423464380, 181094.847661, 0.086054
2024.1423464696, 181094.933520, 0.085665
2024.1423465012, 181095.018991, 0.085276
2024.1423465328, 181095.104073, 0.084886
2024.1423465645, 181095.188763, 0.084495
2024.1423465961, 181095.273063, 0.084103
2024.1423466277, 181095.356969, 0.083710
2024.1423466593, 181095.440482, 0.083316
2024.1423466910, 181095.523601, 0.082921
2024.1423467226, 181095.606324, 0.082525
2024.1423467542, 181095.688651, 0.082128
2024.1423467858, 181095.770580, 0.081730
2024.1423468174, 181095.852111, 0.081331
2024.1423468491, 181095.933242, 0.080931
2024.1423468807, 181096.013973, 0.080530
2024.1423469123, 181096.094302, 0.080129
2024.1423469439, 181096.174230, 0.079726
2024.1423469756, 181096.253753, 0.079322
2024.1423470072, 181096.332873, 0.078917
2024.1423470388, 181096.411587, 0.078511
2024.1423470704, 181096.489894, 0.078104
2024.1423471021, 181096.567794, 0.077696
2024.1423471337, 181096.645286, 0.077287
2024.1423471653, 181096.722368, 0.076877
2024.1423471969, 181096.799040, 0.076466
2024.1423472285, 181096.875300, 0.076054
2024.1423472602, 181096.951148, 0.075642
2024.1423472918, 181097.026583, 0.075228
2024.1423473234, 181097.101603, 0.074813
2024.1423473550, 181097.176208, 0.074397
2024.1423473867, 181097.250396, 0.073980
2024.1423474183, 181097.324167, 0.073562
2024.1423474499, 181097.397520, 0.073143
2024.1423474815, 181097.470453, 0.072723
2024.1423475132, 181097.542966, 0.072302
2024.1423475448, 181097.615057, 0.071880
2024.1423475764, 181097.686726, 0.071458
2024.1423476080, 181097.757972, 0.071034
2024.1423476396, 181097.828793, 0.070609
2024.1423476713, 181097.899190, 0.070183
2024.1423477029, 181097.969160, 0.069757
2024.1423477345, 181098.038703, 0.069329
2024.1423477661, 181098.107817, 0.068900
2024.1423477978, 181098.176503, 0.068471
2024.1423478294, 181098.244759, 0.068040
2024.1423478610, 181098.312583, 0.067609
2024.1423478926, 181098.379976, 0.067177
2024.1423479243, 181098.446936, 0.066743
2024.1423479559, 181098.513463, 0.066309
2024.1423479875, 181098.579555, 0.065874
2024.1423480191, 181098.645211, 0.065438
2024.1423480507, 181098.710430, 0.065001
2024.1423480824, 181098.775213, 0.064563
2024.1423481140, 181098.839557, 0.064125
2024.1423481456, 181098.903462, 0.063685
2024.1423481772, 181098.966927, 0.063244
2024.1423482089, 181099.029950, 0.062803
2024.1423482405, 181099.092533, 0.062361
2024.1423482721, 181099.154672, 0.061918
2024.1423483037, 181099.216368, 0.061474
2024.1423483354, 181099.277619, 0.061029
2024.1423483670, 181099.338425, 0.060583
2024.1423483986, 181099.398785, 0.060136
2024.1423484302, 181099.458698, 0.059689
2024.1423484618, 181099.518162, 0.059241
2024.1423484935, 181099.577178, 0.058791
2024.1423485251, 181099.635745, 0.058341
2024.1423485567, 181099.693861, 0.057890
2024.1423485883, 181099.751525, 0.057439
2024.1423486200, 181099.808738, 0.056986
2024.1423486516, 181099.865497, 0.056533
2024.1423486832, 181099.921802, 0.056078
2024.1423487148, 181099.977653, 0.055623
2024.1423487465, 181100.033048, 0.055167
2024.1423487781, 181100.087987, 0.054710
2024.1423488097, 181100.142468, 0.054253
2024.1423488413, 181100.196492, 0.053794
2024.1423488730, 181100.250056, 0.053335
2024.1423489046, 181100.303161, 0.052874
2024.1423489362, 181100.355805, 0.052413
2024.1423489678, 181100.407987, 0.051952
2024.1423489994, 181100.459707, 0.051489
2024.1423490311, 181100.510964, 0.051025
2024.1423490627, 181100.561758, 0.050561
2024.1423490943, 181100.612086, 0.050096
2024.1423491259, 181100.661949, 0.049630
2024.1423491576, 181100.711345, 0.049163
2024.1423491892, 181100.760275, 0.048695
2024.1423492208, 181100.808736, 0.048227
2024.1423492524, 181100.856728, 0.047758
2024.1423492841, 181100.904251, 0.047288
2024.1423493157, 181100.951304, 0.046817
2024.1423493473, 181100.997885, 0.046345
2024.1423493789, 181101.043994, 0.045873
2024.1423494105, 181101.089630, 0.045400
2024.1423494422, 181101.134793, 0.044926
2024.1423494738, 181101.179482, 0.044451
2024.1423495054, 181101.223695, 0.043976
2024.1423495370, 181101.267433, 0.043500
2024.1423495687, 181101.310694, 0.043023
2024.1423496003, 181101.353478, 0.042545
2024.1423496319, 181101.395784, 0.042067
2024.1423496635, 181101.437611, 0.041588
2024.1423496952, 181101.478959, 0.041108
2024.1423497268, 181101.519827, 0.040627
2024.1423497584, 181101.560213, 0.040146
2024.1423497900, 181101.600119, 0.039664
2024.1423498216, 181101.639542, 0.039182
2024.1423498533, 181101.678482, 0.038699
2024.1423498849, 181101.716939, 0.038215
2024.1423499165, 181101.754911, 0.037730
2024.1423499481, 181101.792399, 0.037245
2024.1423499798, 181101.829402, 0.036760
2024.1423500114, 181101.865919, 0.036273
2024.1423500430, 181101.901949, 0.035787
2024.1423500746, 181101.937491, 0.035299
2024.1423501063, 181101.972547, 0.034811
2024.1423501379, 181102.007113, 0.034323
2024.1423501695, 181102.041191, 0.033833
2024.1423502011, 181102.074780, 0.033344
2024.1423502327, 181102.107879, 0.032853
2024.1423502644, 181102.140487, 0.032363
2024.1423502960, 181102.172604, 0.031871
2024.1423503276, 181102.204230, 0.031380
2024.1423503592, 181102.235363, 0.030887
2024.1423503909, 181102.266004, 0.030395
2024.1423504225, 181102.296152, 0.029901
2024.1423504541, 181102.325807, 0.029408
