time [dec. year], range [m], range-rate [m/s]
2024.1420777677, 180436.981593, 0.247576
2024.1420777993, 180437.229458, 0.248154
2024.1420778309, 180437.477901, 0.248731
2024.1420778625, 180437.726920, 0.249307
2024.1420778942, 180437.976514, 0.249881
2024.1420779258, 180438.226682, 0.250455
2024.1420779574, 180438.477423, 0.251027
2024.1420779890, 180438.728736, 0.251599
2024.1420780206, 180438.980620, 0.252169
2024.1420780523, 180439.233074, 0.252739
2024.1420780839, 180439.486097, 0.253307
2024.1420781155, 180439.739688, 0.253874
2024.1420781471, 180439.993845, 0.254440
2024.1420781788, 180440.248568, 0.255005
2024.1420782104, 180440.503855, 0.255569
2024.1420782420, 180440.759706, 0.256133
2024.1420782736, 180441.016120, 0.256695
2024.1420783053, 180441.273095, 0.257256
2024.1420783369, 180441.530631, 0.257816
2024.1420783685, 180441.788726, 0.258375
2024.1420784001, 180442.047380, 0.258933
2024.1420784317, 180442.306591, 0.259490
2024.1420784634, 180442.566359, 0.260046
2024.1420784950, 180442.826682, 0.260601
2024.1420785266, 180443.087559, 0.261155
2024.1420785582, 180443.348991, 0.261708
2024.1420785899, 180443.610975, 0.262260
2024.1420786215, 180443.873510, 0.262811
2024.1420786531, 180444.136596, 0.263361
2024.1420786847, 180444.400232, 0.263910
2024.1420787164, 180444.664416, 0.264458
2024.1420787480, 180444.929148, 0.265006
2024.1420787796, 180445.194427, 0.265552
2024.1420788112, 180445.460252, 0.266097
2024.1420788428, 180445.726621, 0.266642
2024.1420788745, 180445.993535, 0.267185
2024.1420789061, 180446.260991, 0.267728
2024.1420789377, 180446.528990, 0.268269
2024.1420789693, 180446.797530, 0.268810
2024.1420790010, 180447.066610, 0.269350
2024.1420790326, 180447.336229, 0.269889
2024.1420790642, 180447.606386, 0.270426
2024.1420790958, 180447.877081, 0.270963
2024.1420791275, 180448.148313, 0.271500
2024.1420791591, 180448.420080, 0.272035
2024.1420791907, 180448.692382, 0.272569
2024.1420792223, 180448.965218, 0.273102
2024.1420792539, 180449.238587, 0.273635
2024.1420792856, 180449.512488, 0.274166
2024.1420793172, 180449.786920, 0.274697
2024.1420793488, 180450.061882, 0.275227
2024.1420793804, 180450.337373, 0.275756
2024.1420794121, 180450.613393, 0.276284
2024.1420794437, 180450.889941, 0.276811
2024.1420794753, 180451.167015, 0.277337
2024.1420795069, 180451.444614, 0.277862
2024.1420795386, 180451.722739, 0.278387
2024.1420795702, 180452.001387, 0.278910
2024.1420796018, 180452.280559, 0.279433
2024.1420796334, 180452.560253, 0.279954
2024.1420796650, 180452.840468, 0.280475
2024.1420796967, 180453.121203, 0.280995
2024.1420797283, 180453.402458, 0.281514
2024.1420797599, 180453.684231, 0.282032
2024.1420797915, 180453.966522, 0.282549
2024.1420798232, 180454.249329, 0.283066
2024.1420798548, 180454.532653, 0.283581
2024.1420798864, 180454.816491, 0.284096
2024.1420799180, 180455.100843, 0.284609
2024.1420799497, 180455.385709, 0.285122
2024.1420799813, 180455.671086, 0.285633
2024.1420800129, 180455.956975, 0.286144
2024.1420800445, 180456.243375, 0.286654
2024.1420800761, 180456.530283, 0.287163
2024.1420801078, 180456.817700, 0.287671
2024.1420801394, 180457.105625, 0.288178
2024.1420801710, 180457.394057, 0.288684
2024.1420802026, 180457.682994, 0.289190
2024.1420802343, 180457.972436, 0.289694
2024.1420802659, 180458.262382, 0.290197
2024.1420802975, 180458.552830, 0.290700
2024.1420803291, 180458.843781, 0.291201
2024.1420803608, 180459.135233, 0.291702
2024.1420803924, 180459.427185, 0.292202
2024.1420804240, 180459.719636, 0.292700
2024.1420804556, 180460.012585, 0.293198
2024.1420804872, 180460.306032, 0.293695
2024.1420805189, 180460.599975, 0.294191
2024.1420805505, 180460.894413, 0.294686
2024.1420805821, 180461.189346, 0.295180
2024.1420806137, 180461.484773, 0.295673
2024.1420806454, 180461.780691, 0.296165
2024.1420806770, 180462.077102, 0.296656
2024.1420807086, 180462.374003, 0.297146
2024.1420807402, 180462.671393, 0.297635
2024.1420807719, 180462.969273, 0.298123
2024.1420808035, 180463.267640, 0.298611
2024.1420808351, 180463.566494, 0.299097
2024.1420808667, 180463.865833, 0.299582
2024.1420808984, 180464.165658, 0.300067
2024.1420809300, 180464.465966, 0.300550
2024.1420809616, 180464.766757, 0.301032
2024.1420809932, 180465.068030, 0.301514
2024.1420810248, 180465.369784, 0.301994
2024.1420810565, 180465.672019, 0.302474
2024.1420810881, 180465.974732, 0.302952
2024.1420811197, 180466.277923, 0.303430
2024.1420811513, 180466.581591, 0.303906
2024.1420811830, 180466.885735, 0.304382
2024.1420812146, 180467.190354, 0.304856
2024.1420812462, 180467.495448, 0.305330
2024.1420812778, 180467.801014, 0.305803
2024.1420813095, 180468.107053, 0.306274
2024.1420813411, 180468.413562, 0.306745
2024.1420813727, 180468.720542, 0.307215
2024.1420814043, 180469.027991, 0.307683
2024.1420814359, 180469.335909, 0.308151
2024.1420814676, 180469.644293, 0.308618
2024.1420814992, 180469.953144, 0.309083
2024.1420815308, 180470.262459, 0.309548
2024.1420815624, 180470.572239, 0.310012
2024.1420815941, 180470.882482, 0.310474
2024.1420816257, 180471.193187, 0.310936
2024.1420816573, 180471.504354, 0.311397
2024.1420816889, 180471.815980, 0.311856
2024.1420817206, 180472.128066, 0.312315
2024.1420817522, 180472.440609, 0.312772
2024.1420817838, 180472.753610, 0.313229
2024.1420818154, 180473.067067, 0.313684
2024.1420818470, 180473.380978, 0.314139
2024.1420818787, 180473.695344, 0.314592
2024.1420819103, 180474.010162, 0.315045
2024.1420819419, 180474.325433, 0.315496
2024.1420819735, 180474.641154, 0.315946
2024.1420820052, 180474.957325, 0.316396
2024.1420820368, 180475.273945, 0.316844
2024.1420820684, 180475.591012, 0.317291
2024.1420821000, 180475.908526, 0.317737
2024.1420821317, 180476.226486, 0.318182
2024.1420821633, 180476.544890, 0.318626
2024.1420821949, 180476.863737, 0.319069
2024.1420822265, 180477.183027, 0.319511
2024.1420822581, 180477.502759, 0.319952
2024.1420822898, 180477.822930, 0.320391
2024.1420823214, 180478.143541, 0.320830
2024.1420823530, 180478.464590, 0.321267
2024.1420823846, 180478.786075, 0.321704
2024.1420824163, 180479.107997, 0.322139
2024.1420824479, 180479.430353, 0.322573
2024.1420824795, 180479.753143, 0.323007
2024.1420825111, 180480.076366, 0.323439
2024.1420825428, 180480.400020, 0.323870
2024.1420825744, 180480.724105, 0.324299
2024.1420826060, 180481.048619, 0.324728
2024.1420826376, 180481.373561, 0.325156
2024.1420826692, 180481.698930, 0.325582
2024.1420827009, 180482.024725, 0.326008
2024.1420827325, 180482.350945, 0.326432
2024.1420827641, 180482.677588, 0.326855
2024.1420827957, 180483.004654, 0.327277
2024.1420828274, 180483.332142, 0.327698
2024.1420828590, 180483.660050, 0.328118
2024.1420828906, 180483.988377, 0.328536
2024.1420829222, 180484.317123, 0.328954
2024.1420829539, 180484.646285, 0.329370
2024.1420829855, 180484.975863, 0.329786
2024.1420830171, 180485.305856, 0.330200
2024.1420830487, 180485.636263, 0.330613
2024.1420830803, 180485.967082, 0.331025
2024.1420831120, 180486.298312, 0.331435
2024.1420831436, 180486.629952, 0.331845
2024.1420831752, 180486.962001, 0.332253
2024.1420832068, 180487.294459, 0.332661
2024.1420832385, 180487.627322, 0.333067
2024.1420832701, 180487.960592, 0.333472
2024.1420833017, 180488.294266, 0.333876
2024.1420833333, 180488.628343, 0.334279
2024.1420833650, 180488.962823, 0.334680
2024.1420833966, 180489.297703, 0.335081
2024.1420834282, 180489.632983, 0.335480
2024.1420834598, 180489.968662, 0.335878
2024.1420834914, 180490.304739, 0.336275
2024.1420835231, 180490.641212, 0.336671
2024.1420835547, 180490.978080, 0.337066
2024.1420835863, 180491.315343, 0.337459
2024.1420836179, 180491.652998, 0.337851
2024.1420836496, 180491.991045, 0.338243
2024.1420836812, 180492.329483, 0.338633
2024.1420837128, 180492.668310, 0.339022
2024.1420837444, 180493.007526, 0.339410
2024.1420837761, 180493.347129, 0.339796
2024.1420838077, 180493.687118, 0.340182
2024.1420838393, 180494.027492, 0.340566
2024.1420838709, 180494.368250, 0.340949
2024.1420839025, 180494.709390, 0.341331
2024.1420839342, 180495.050912, 0.341712
2024.1420839658, 180495.392814, 0.342092
2024.1420839974, 180495.735095, 0.342470
2024.1420840290, 180496.077754, 0.342848
2024.1420840607, 180496.420790, 0.343224
2024.1420840923, 180496.764202, 0.343599
2024.1420841239, 180497.107988, 0.343973
2024.1420841555, 180497.452148, 0.344346
2024.1420841872, 180497.796680, 0.344718
2024.1420842188, 180498.141583, 0.345088
2024.1420842504, 180498.486856, 0.345457
2024.1420842820, 180498.832497, 0.345826
2024.1420843137, 180499.178506, 0.346193
2024.1420843453, 180499.524882, 0.346558
2024.1420843769, 180499.871623, 0.346923
2024.1420844085, 180500.218728, 0.347287
2024.1420844401, 180500.566196, 0.347649
2024.1420844718, 180500.914026, 0.348010
2024.1420845034, 180501.262216, 0.348370
2024.1420845350, 180501.610766, 0.348729
2024.1420845666, 180501.959674, 0.349087
2024.1420845983, 180502.308939, 0.349444
2024.1420846299, 180502.658561, 0.349799
2024.1420846615, 180503.008537, 0.350153
2024.1420846931, 180503.358867, 0.350506
2024.1420847248, 180503.709549, 0.350858
2024.1420847564, 180504.060582, 0.351209
2024.1420847880, 180504.411966, 0.351558
2024.1420848196, 180504.763699, 0.351907
2024.1420848512, 180505.115779, 0.352254
2024.1420848829, 180505.468207, 0.352600
2024.1420849145, 180505.820979, 0.352945
2024.1420849461, 180506.174096, 0.353289
2024.1420849777, 180506.527556, 0.353631
2024.1420850094, 180506.881358, 0.353973
2024.1420850410, 180507.235501, 0.354313
2024.1420850726, 180507.589984, 0.354652
2024.1420851042, 180507.944804, 0.354990
2024.1420851359, 180508.299962, 0.355326
2024.1420851675, 180508.655457, 0.355662
2024.1420851991, 180509.011286, 0.355996
2024.1420852307, 180509.367448, 0.356329
2024.1420852623, 180509.723944, 0.356661
2024.1420852940, 180510.080770, 0.356992
2024.1420853256, 180510.437927, 0.357321
2024.1420853572, 180510.795413, 0.357650
2024.1420853888, 180511.153226, 0.357977
2024.1420854205, 180511.511366, 0.358303
2024.1420854521, 180511.869832, 0.358628
2024.1420854837, 180512.228622, 0.358952
2024.1420855153, 180512.587734, 0.359274
2024.1420855470, 180512.947169, 0.359595
2024.1420855786, 180513.306924, 0.359915
2024.1420856102, 180513.666999, 0.360234
2024.1420856418, 180514.027392, 0.360552
2024.1420856734, 180514.388103, 0.360868
2024.1420857051, 180514.749129, 0.361184
2024.1420857367, 180515.110470, 0.361498
2024.1420857683, 180515.472124, 0.361811
2024.1420857999, 180515.834091, 0.362123
2024.1420858316, 180516.196369, 0.362433
2024.1420858632, 180516.558956, 0.362742
2024.1420858948, 180516.921853, 0.363051
2024.1420859264, 180517.285057, 0.363358
2024.1420859581, 180517.648568, 0.363663
2024.1420859897, 180518.012383, 0.363968
2024.1420860213, 180518.376503, 0.364271
2024.1420860529, 180518.740926, 0.364573
2024.1420860845, 180519.105650, 0.364875
2024.1420861162, 180519.470674, 0.365174
2024.1420861478, 180519.835998, 0.365473
2024.1420861794, 180520.201620, 0.365770
2024.1420862110, 180520.567538, 0.366067
2024.1420862427, 180520.933753, 0.366362
2024.1420862743, 180521.300261, 0.366655
2024.1420863059, 180521.667063, 0.366948
2024.1420863375, 180522.034157, 0.367240
2024.1420863692, 180522.401542, 0.367530
2024.1420864008, 180522.769217, 0.367819
2024.1420864324, 180523.137180, 0.368107
2024.1420864640, 180523.505430, 0.368394
2024.1420864956, 180523.873966, 0.368679
2024.1420865273, 180524.242788, 0.368963
2024.1420865589, 180524.611893, 0.369247
2024.1420865905, 180524.981280, 0.369529
2024.1420866221, 180525.350950, 0.369809
2024.1420866538, 180525.720899, 0.370089
2024.1420866854, 180526.091127, 0.370367
2024.1420867170, 180526.461633, 0.370645
2024.1420867486, 180526.832416, 0.370921
2024.1420867803, 180527.203474, 0.371196
2024.1420868119, 180527.574806, 0.371469
2024.1420868435, 180527.946412, 0.371742
2024.1420868751, 180528.318290, 0.372013
2024.1420869067, 180528.690438, 0.372283
2024.1420869384, 180529.062856, 0.372552
2024.1420869700, 180529.435542, 0.372820
2024.1420870016, 180529.808496, 0.373087
2024.1420870332, 180530.181715, 0.373352
2024.1420870649, 180530.555200, 0.373617
2024.1420870965, 180530.928948, 0.373880
2024.1420871281, 180531.302959, 0.374142
2024.1420871597, 180531.677232, 0.374403
2024.1420871914, 180532.051765, 0.374663
2024.1420872230, 180532.426557, 0.374921
2024.1420872546, 180532.801606, 0.375179
2024.1420872862, 180533.176913, 0.375435
2024.1420873179, 180533.552476, 0.375690
2024.1420873495, 180533.928293, 0.375944
2024.1420873811, 180534.304363, 0.376197
2024.1420874127, 180534.680686, 0.376448
2024.1420874443, 180535.057259, 0.376699
2024.1420874760, 180535.434083, 0.376948
2024.1420875076, 180535.811156, 0.377197
2024.1420875392, 180536.188476, 0.377444
2024.1420875708, 180536.566043, 0.377690
2024.1420876025, 180536.943855, 0.377935
2024.1420876341, 180537.321912, 0.378178
2024.1420876657, 180537.700212, 0.378421
2024.1420876973, 180538.078753, 0.378663
2024.1420877290, 180538.457536, 0.378903
2024.1420877606, 180538.836559, 0.379142
2024.1420877922, 180539.215820, 0.379380
2024.1420878238, 180539.595320, 0.379617
2024.1420878554, 180539.975055, 0.379853
2024.1420878871, 180540.355026, 0.380088
2024.1420879187, 180540.735231, 0.380322
2024.1420879503, 180541.115670, 0.380555
2024.1420879819, 180541.496340, 0.380786
2024.1420880136, 180541.877242, 0.381017
2024.1420880452, 180542.258373, 0.381246
2024.1420880768, 180542.639733, 0.381474
2024.1420881084, 180543.021321, 0.381701
2024.1420881401, 180543.403135, 0.381927
2024.1420881717, 180543.785175, 0.382152
2024.1420882033, 180544.167439, 0.382376
2024.1420882349, 180544.549927, 0.382599
2024.1420882665, 180544.932636, 0.382820
2024.1420882982, 180545.315567, 0.383041
2024.1420883298, 180545.698718, 0.383261
2024.1420883614, 180546.082088, 0.383479
2024.1420883930, 180546.465676, 0.383696
2024.1420884247, 180546.849480, 0.383913
2024.1420884563, 180547.233501, 0.384128
2024.1420884879, 180547.617735, 0.384342
2024.1420885195, 180548.002184, 0.384555
2024.1420885512, 180548.386845, 0.384767
2024.1420885828, 180548.771717, 0.384978
2024.1420886144, 180549.156800, 0.385187
2024.1420886460, 180549.542092, 0.385396
2024.1420886776, 180549.927592, 0.385604
2024.1420887093, 180550.313299, 0.385810
2024.1420887409, 180550.699212, 0.386016
2024.1420887725, 180551.085330, 0.386220
2024.1420888041, 180551.471652, 0.386424
2024.1420888358, 180551.858177, 0.386626
2024.1420888674, 180552.244903, 0.386827
2024.1420888990, 180552.631831, 0.387027
2024.1420889306, 180553.018958, 0.387226
